event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold_before_promo,quantity_sold_after_promo
9c2c14,STVSK-0,CAMP_DIW_01,P14,1020,BOGOF,29,97
918a17,STVSK-1,CAMP_DIW_01,P14,1020,BOGOF,26,91
6a7fa1,STVJD-1,CAMP_SAN_01,P14,1020,BOGOF,61,243
deea3e,STMLR-1,CAMP_SAN_01,P14,1020,BOGOF,51,198
35e1c7,STBLR-1,CAMP_DIW_01,P14,1020,BOGOF,54,169
30bacd,STBLR-3,CAMP_DIW_01,P14,1020,BOGOF,42,143
7cf0d8,STMDU-0,CAMP_SAN_01,P14,1020,BOGOF,79,349
0e96b4,STCBE-4,CAMP_SAN_01,P14,1020,BOGOF,93,234
33da9a,STHYD-5,CAMP_DIW_01,P14,1020,BOGOF,54,183
4cd232,STVJD-0,CAMP_DIW_01,P14,1020,BOGOF,28,92
3adeb2,STMYS-0,CAMP_SAN_01,P14,1020,BOGOF,84,219
a40872,STBLR-7,CAMP_DIW_01,P14,1020,BOGOF,47,189
5dda21,STCBE-0,CAMP_SAN_01,P14,1020,BOGOF,69,274
349c73,STCHE-2,CAMP_DIW_01,P14,1020,BOGOF,57,189
6af3e0,STBLR-6,CAMP_SAN_01,P14,1020,BOGOF,103,444
8cee6d,STCBE-3,CAMP_DIW_01,P14,1020,BOGOF,22,73
adf52a,STBLR-6,CAMP_DIW_01,P14,1020,BOGOF,47,179
a937e8,STMDU-3,CAMP_SAN_01,P14,1020,BOGOF,87,347
bb77b1,STMYS-3,CAMP_DIW_01,P14,1020,BOGOF,54,206
108d5a,STCBE-0,CAMP_DIW_01,P14,1020,BOGOF,29,101
73f158,STHYD-2,CAMP_SAN_01,P14,1020,BOGOF,118,459
141aea,STCHE-7,CAMP_SAN_01,P14,1020,BOGOF,111,493
6562df,STCBE-1,CAMP_SAN_01,P14,1020,BOGOF,78,310
021d48,STMLR-2,CAMP_SAN_01,P14,1020,BOGOF,61,243
7641,STBLR-1,CAMP_SAN_01,P14,1020,BOGOF,97,257
4236be,STTRV-0,CAMP_SAN_01,P14,1020,BOGOF,70,280
a617b5,STHYD-4,CAMP_SAN_01,P14,1020,BOGOF,102,410
1130ea,STHYD-6,CAMP_DIW_01,P14,1020,BOGOF,45,155
35418e,STTRV-0,CAMP_DIW_01,P14,1020,BOGOF,21,70
59effd,STBLR-5,CAMP_SAN_01,P14,1020,BOGOF,97,380
3bcf8b,STCHE-6,CAMP_SAN_01,P14,1020,BOGOF,138,547
11578,STHYD-3,CAMP_SAN_01,P14,1020,BOGOF,87,236
